wavelength,intensity,metadata
898.561,1.74185,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.518,1.72415,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.475,1.72286,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.432,1.7429,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.389,1.74473,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.346,1.7403,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.303,1.73588,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.26,1.75591,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.217,1.75123,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.174,1.74758,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.131,1.75668,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.088,1.73353,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.046,1.75614,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
898.003,1.76886,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.96,1.78184,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.917,1.75169,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.874,1.7644,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.831,1.75009,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.788,1.77137,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.745,1.77186,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.702,1.75419,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.659,1.75909,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.616,1.7601,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.573,1.78135,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.53,1.77612,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.487,1.77168,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.444,1.78227,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.401,1.76719,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.358,1.78866,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.315,1.76218,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.272,1.77872,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.229,1.7924,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.186,1.7882,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.143,1.79228,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.1,1.79481,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.057,1.77636,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
897.014,1.79261,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.971,1.81558,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.928,1.81188,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.885,1.79705,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.842,1.80085,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.799,1.81887,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.756,1.80792,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.713,1.78897,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.67,1.79275,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.627,1.80429,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.584,1.81763,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.541,1.84336,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.498,1.80684,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.455,1.80596,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.412,1.79758,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.369,1.81322,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.326,1.80717,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.282,1.8215,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.239,1.84459,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.196,1.82486,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.153,1.81648,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.11,1.84264,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.067,1.81827,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
896.024,1.81143,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.981,1.85122,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.938,1.81836,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.895,1.83546,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.852,1.84535,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.809,1.82692,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.766,1.84323,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.722,1.8423,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.679,1.84727,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.636,1.82576,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.593,1.86209,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.55,1.85394,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.507,1.85761,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.464,1.86642,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.421,1.85596,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.378,1.83907,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.334,1.83298,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.291,1.86256,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
895.248,1.85363,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '108K'}"
