wavelength,intensity,metadata
900.916,1.7108,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.874,1.6964,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.831,1.69628,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.788,1.71672,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.745,1.71915,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.703,1.6905,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.66,1.71674,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.617,1.70991,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.574,1.64675,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.532,1.63394,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.489,1.61896,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.446,1.62922,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.403,1.65801,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.36,1.62488,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.318,1.65802,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.275,1.66101,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.232,1.65621,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.189,1.6398,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.146,1.64299,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.104,1.64165,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.061,1.64338,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
900.018,1.658,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.975,1.65593,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.932,1.64027,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.89,1.65996,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.847,1.653,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.804,1.64785,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.761,1.65141,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.718,1.66783,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.675,1.66052,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.633,1.661,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.59,1.65025,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.547,1.66974,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.504,1.67673,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.461,1.67721,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.418,1.64566,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.375,1.66134,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.333,1.69403,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.29,1.68347,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.247,1.66586,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.204,1.66924,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.161,1.65454,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.118,1.67111,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.075,1.68027,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
899.032,1.68256,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.99,1.67653,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.947,1.67755,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.904,1.68092,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.861,1.68465,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.818,1.66563,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.775,1.67767,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.732,1.68176,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.689,1.70029,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.646,1.68055,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.604,1.6942,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.561,1.70045,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.518,1.69424,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.475,1.70355,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.432,1.69068,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
898.389,1.69945,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '138K'}"
