wavelength,intensity,metadata
900.916,0.91256,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.874,0.91775,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.831,0.91403,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.788,0.90674,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.745,0.91933,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.703,0.91794,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.66,0.90833,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.617,0.92872,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.574,0.8946,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.532,0.8787,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.489,0.88923,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.446,0.87923,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.403,0.8769,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.36,0.89373,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.318,0.8892,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.275,0.88701,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
900.232,0.88891,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '198K'}"
