wavelength,intensity,metadata
900.916,2.76062,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.874,2.77881,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.831,2.77884,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.788,2.74599,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.745,2.77633,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.703,2.77355,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.66,2.76357,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.617,2.76438,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.574,2.66229,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.532,2.64337,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.489,2.65114,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.446,2.68225,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.403,2.66412,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.36,2.66369,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.318,2.66351,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.275,2.66513,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.232,2.66932,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.189,2.65147,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.146,2.63927,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.104,2.62887,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.061,2.67097,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
900.018,2.66646,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
899.975,2.67015,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
899.932,2.66641,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
899.89,2.6637,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '228K'}"
