wavelength,intensity,metadata
900.916,1.293,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.874,1.30015,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.831,1.2839,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.788,1.3007,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.745,1.29931,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.703,1.30008,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.66,1.28969,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.617,1.29247,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.574,1.25958,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.532,1.2492,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.489,1.25399,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.446,1.25878,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.403,1.24192,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.36,1.23506,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.318,1.25034,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.275,1.24781,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.232,1.25743,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.189,1.26206,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.146,1.2547,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.104,1.23271,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
900.061,1.23917,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '168K'}"
